targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp_obs,theta_asp_sun
3200 Phaethon (1983 TB),2017-Dec-16 16:00,2458104.166666667,14.6,0.15,,,11.23214,30.12237,11.4734,30.22165,-1846.49,-1351.81,296.5038,16.3892,528.26,-615.21,353822.9,192810.6,66.346,7.1977713952,3.494,0.917,11.01,5.9,74.319,0.032,416118.1,*,0.12465,,,,,256.74,0.05,,,81.4803,1.5324,1.015958305384,-28.6588777,0.06913313732231,-2.1622299,0.574963,32.38194,31.94626,115.5884,/T,60.8952,128.2,2.3,3.5136,76.711,79.779,-3.12784,And,69.183502,22.9100019,23.1705772,,,121.260674,-32.725282,1.5689431105,0.000354,0.041,0.047,0.054,0.031,-52.274,0.01,0.063,0.7313,3e-07,0.07,0.27,5e-06,213.7767,6.432878366,60.8974,53.4199,14.1051,95.61113067658863,139.40142447735752
3200 Phaethon (1983 TB),2017-Dec-16 18:00,2458104.25,14.6,0.15,,,10.05776,29.36516,10.29734,29.46481,-1825.51,-1371.66,316.4585,-2.1219,660.17,-480.44,349618.5,190098.4,66.872,9.2032472984,999.0,,11.04,5.92,73.39,0.0332,411627.8,*,0.12481,,,,,255.88,0.06,,,81.5183,1.517,1.014578235774,-28.6895249,0.06904497569598,-1.5144433,0.57423,32.41862,31.79852,114.341,/T,62.1063,126.2,2.0,3.5498,75.858,78.369,-2.66547,And,69.183504,21.5571834,22.9182198,,,120.007491,-33.440035,3.5682107312,0.000354,0.042,0.047,0.054,0.032,-51.592,0.01,0.063,0.7071,3e-07,0.07,0.27,5e-06,213.8178,8.516757725,62.1084,52.7702,14.0469,94.93841267519255,139.41878321759467
3200 Phaethon (1983 TB),2017-Dec-16 20:00,2458104.333333333,14.6,0.15,,,8.90468,28.59833,9.14269,28.69828,-1807.43,-1386.9,341.0474,-14.4468,786.31,-239.77,345486.3,187351.6,67.385,11.2087232048,999.0,,11.07,5.94,72.452,0.0344,407141.7,*,0.124916,,,,,255.07,0.06,,,81.5563,1.5014,1.013196692312,-28.7202403,0.06898622990909,-0.9355518,0.573741,32.4554,31.67712,113.0949,/T,63.3164,124.4,1.8,3.5858,75.045,77.043,-2.2015,And,69.183507,20.2130564,22.6534571,,,118.737802,-34.141731,5.567504992,0.000354,0.042,0.047,0.054,0.032,-50.932,0.01,0.063,0.6834,3e-07,0.07,0.27,5e-06,213.859,10.599210429,63.3184,52.1224,13.9822,94.26694541135892,139.43631295402832
3200 Phaethon (1983 TB),2017-Dec-16 22:00,2458104.416666667,14.6,0.15,*,m,7.76983,27.82398,8.00637,27.92419,-1794.58,-1399.19,9.4281,-17.1021,823.09,86.52,341416.5,184577.5,67.885,13.2141991143,999.0,,11.1,5.96,71.503,0.0356,402654.8,*,0.124973,,,,,254.29,0.06,,,81.5945,1.4858,1.011813671472,-28.7510242,0.06895437253811,-0.3900039,0.573476,32.49228,31.61432,111.8486,/T,64.527,122.6,1.6,3.6216,74.271,75.796,-1.73826,And,69.183509,18.8764146,22.3788869,,,117.44883,-34.828177,7.5668330483,0.000354,0.043,0.047,0.054,0.032,-50.291,0.01,0.063,0.6602,3e-07,0.08,0.27,4e-06,213.9002,-11.319558638,64.5289,51.476,13.9126,93.59445408132032,139.4538239626452
3200 Phaethon (1983 TB),2017-Dec-17 00:00,2458104.5,14.6,0.15,*,m,6.6493,27.04324,6.88447,27.14366,-1787.32,-1410.38,36.5903,-9.0904,742.44,378.15,337396.6,181779.8,68.371,15.2196750269,999.0,,11.14,5.98,70.542,0.0368,398158.5,*,0.124983,,,,,253.55,0.06,,,81.6327,1.4702,1.010429169909,-28.7818768,0.0689488914726,0.1682678,0.57343,32.52925,31.62651,110.5996,/T,65.7404,121.0,1.5,3.6571,73.533,74.621,-1.27739,And,69.183511,17.5448201,22.0965643,,,116.136825,-35.497878,9.5661929,0.000354,0.043,0.046,0.054,0.032,-49.668,0.01,0.063,0.6376,3e-07,0.08,0.28,4e-06,213.9416,-9.239289516,65.7422,50.8302,13.8391,92.91826358328296,139.47130586835152
3200 Phaethon (1983 TB),2017-Dec-17 02:00,2458104.583333333,14.6,0.15,*,m,5.53969,26.25627,5.77358,26.35688,-1784.0,-1421.92,59.4491,6.8335,625.51,558.73,333414.8,178958.8,68.843,17.2251509424,7.768,2.039,11.17,6.0,69.568,0.038,393643.9,*,0.124943,,,,,252.85,0.06,,,81.6711,1.4546,1.009043184476,-28.8127984,0.06897147324746,0.7822207,0.573618,32.56632,31.70946,109.3455,/T,66.9589,119.4,1.4,3.6927,72.83,73.515,-0.81965,And,69.183513,16.2157601,21.8075654,,,114.798349,-36.150044,11.5655739275,0.000354,0.043,0.046,0.054,0.033,-49.06,0.01,0.063,0.6156,3e-07,0.08,0.28,4e-06,213.9831,-7.15975461,66.9606,50.184,13.7624,92.23630890627842,139.48876835875623
3200 Phaethon (1983 TB),2017-Dec-17 04:00,2458104.666666667,14.6,0.15,*,m,4.43921,25.46267,4.67191,25.56342,-1781.39,-1434.44,79.7714,27.0935,546.93,643.01,329464.5,176112.9,69.303,19.2306268608,2.185,0.574,11.21,6.02,68.58,0.0392,389106.2,*,0.124845,,,,,252.17,0.06,,,81.7096,1.4389,1.007655712177,-28.8437893,0.06902553254212,1.4788339,0.574068,32.60349,31.83957,108.0851,/T,68.1836,117.7,1.3,3.7284,72.161,72.47,-0.36488,And,69.183514,14.88781,21.5118504,,,113.431515,-36.784447,13.5649597352,0.000354,0.043,0.046,0.054,0.033,-48.468,0.01,0.063,0.5945,3e-07,0.08,0.28,4e-06,214.0248,-5.080833993,68.1853,49.5367,13.6826,91.54798285966531,139.50630603547594
3200 Phaethon (1983 TB),2017-Dec-17 06:00,2458104.75,14.6,0.15,*,m,3.34833,24.66193,3.5799,24.76279,-1775.7,-1447.64,103.0843,48.7273,563.57,635.53,325546.2,173240.4,69.751,21.236102782,1.329,0.349,11.25,6.04,67.579,0.0404,384547.3,*,0.124683,,,,,251.53,0.06,,,81.7481,1.4231,1.006266750077,-28.8748498,0.06911521749686,2.260747,0.574814,32.64077,31.98065,106.8187,/T,69.4139,115.9,1.1,3.7645,71.523,71.484,0.08773,And,69.183516,13.5614547,21.2084521,,,112.036854,-37.40118,15.5643325452,0.000354,0.044,0.046,0.054,0.033,-47.891,0.01,0.063,0.5742,3e-07,0.08,0.28,4e-06,214.0665,-3.002557199,69.4154,48.8882,13.5988,90.85457530073421,139.5239139382981
3200 Phaethon (1983 TB),2017-Dec-17 08:00,2458104.833333333,14.6,0.15,N,,2.26967,23.85396,2.50018,23.95491,-1763.7,-1460.36,146.4276,66.6504,780.62,347.49,321667.8,170341.1,70.191,23.2415787058,1.089,0.286,11.29,6.06,66.568,0.0416,379976.4,*,0.12445,,,,,250.92,0.06,,,81.7868,1.4073,1.004876295179,-28.9059802,0.06924417497977,3.1049149,0.575886,32.67814,32.09401,105.549,/T,70.6469,113.9,1.0,3.8012,70.917,70.552,0.53927,Peg,69.183518,12.2393232,20.8959285,,,110.617509,-38.000387,17.56367796,0.000354,0.044,0.045,0.054,0.033,-47.333,0.01,0.063,0.5552,3e-07,0.08,0.28,4e-06,214.1083,-0.925099955,70.6484,48.2398,13.5099,90.15916941231686,139.54150139973135
3200 Phaethon (1983 TB),2017-Dec-17 10:00,2458104.916666667,14.6,0.15,,,1.20738,23.03946,1.43688,23.14044,-1743.67,-1471.04,219.328,64.4867,735.38,-444.48,317842.2,167417.9,70.623,1.2470546321,1.107,0.291,11.33,6.08,65.551,0.0428,375408.7,*,0.124145,,,,,250.35,0.06,,,81.8256,1.3915,1.003484344317,-28.9371807,0.06941443477664,3.9687899,0.577302,32.71561,32.14879,104.2802,/T,71.8784,111.8,0.8,3.8385,70.344,69.672,0.99064,Peg,69.183521,10.9257662,20.5729402,,,109.178717,-38.582018,19.5629888209,0.000354,0.044,0.045,0.054,0.033,-46.794,0.01,0.063,0.5375,3e-07,0.08,0.29,4e-06,214.1503,1.151262606,71.8798,47.5933,13.4145,89.46601901658548,139.55906336725067
3200 Phaethon (1983 TB),2017-Dec-17 12:00,2458105.0,14.6,0.15,,,0.16593,22.21998,0.39448,22.32097,-1715.93,-1478.19,257.1255,44.803,549.34,-666.61,314084.2,164476.7,71.049,3.2525305608,1.417,0.372,11.38,6.1,64.531,0.0439,370862.2,*,0.123768,,,,,249.81,0.06,,,81.8645,1.3756,1.002090894091,-28.9684517,0.06962574210255,4.8023092,0.57906,32.75318,32.12981,103.0173,/T,73.1036,109.6,0.7,3.8762,69.804,68.842,1.44217,Peg,69.183523,9.6259035,20.2387864,,,107.726693,-39.145655,21.5622671255,0.000354,0.044,0.045,0.053,0.033,-46.278,0.01,0.063,0.5214,3e-07,0.08,0.28,3e-06,214.1924,3.226231856,73.1048,46.9509,13.3115,88.77957894951275,139.57669946902286
3200 Phaethon (1983 TB),2017-Dec-17 14:00,2458105.083333333,14.6,0.15,,,359.14891,21.39779,359.37658,21.49874,-1682.75,-1480.83,278.9031,22.1829,546.24,-674.66,310406.0,161525.8,71.47,5.2580064918,2.629,0.69,11.42,6.12,63.514,0.045,366353.6,*,0.123326,,,,,249.3,0.06,,,81.9035,1.3597,1.000695940865,-28.9997935,0.06987553922178,5.5621971,0.581137,32.79086,32.04138,101.7649,/T,74.3178,107.3,0.5,3.9144,69.299,68.061,1.89342,Peg,69.183527,8.3444326,19.893746,,,106.267258,-39.690434,23.5615234933,0.000354,0.044,0.045,0.053,0.033,-45.784,0.01,0.063,0.5072,3e-07,0.08,0.28,3e-06,214.2346,5.299567876,74.3189,46.3151,13.2005,88.1034705703837,139.5943095388623
3200 Phaethon (1983 TB),2017-Dec-17 16:00,2458105.166666667,14.6,0.15,,,358.15806,20.57549,358.38493,20.67636,-1647.68,-1478.75,298.8343,0.6869,631.26,-601.79,306814.1,158575.0,71.885,7.2634824249,25.605,6.721,11.47,6.14,62.503,0.0461,361894.9,*,0.122827,,,,,248.83,0.06,,,81.9426,1.3437,0.999299480823,-29.0312063,0.07015960632489,6.2243611,0.5835,32.82863,31.9062,100.5264,/T,75.518,105.0,0.4,3.9527,68.828,67.328,2.34316,Peg,69.18353,7.0845623,19.5391376,,,104.804594,-40.215065,1.5607743239,0.000354,0.044,0.044,0.053,0.033,-45.314,0.01,0.062,0.4949,3e-07,0.08,0.28,3e-06,214.2769,7.371153707,75.5189,45.6875,13.0816,87.43968330260947,139.61199320983957
3200 Phaethon (1983 TB),2017-Dec-17 18:00,2458105.25,14.6,0.15,,,357.19288,19.75556,357.41902,19.85631,-1614.53,-1472.58,322.4004,-16.825,764.5,-427.81,303307.8,155632.9,72.292,9.2689583601,999.0,,11.51,6.16,61.499,0.0471,357491.0,*,0.12228,,,,,248.39,0.06,,,81.9818,1.3277,0.997901510082,-29.0626906,0.07047317730334,6.7907335,0.586108,32.86651,31.7597,99.3031,/T,76.7031,102.8,0.3,3.9909,68.39,66.642,2.78958,Peg,69.183533,5.8473853,19.1770954,,,103.340515,-40.717958,3.5600374081,0.000354,0.044,0.044,0.053,0.033,-44.866,0.01,0.062,0.4847,3e-07,0.08,0.28,3e-06,214.3193,9.441023492,76.7039,45.069,12.9558,86.78823983025076,139.62965030639754
3200 Phaethon (1983 TB),2017-Dec-17 20:00,2458105.333333333,14.6,0.15,,,356.25079,18.93995,356.4763,19.04056,-1586.28,-1463.49,352.2419,-26.2297,872.44,-114.04,299879.4,152706.6,72.692,11.2744342971,999.0,,11.56,6.18,60.503,0.0481,353139.4,*,0.121695,,,,,247.98,0.06,,,82.0212,1.3116,0.996502024811,-29.0942466,0.07081220715343,7.2885791,0.588927,32.90449,31.64079,98.0943,/T,77.874,100.7,0.2,4.0288,67.984,66.0,3.23062,Peg,69.183535,4.631867,18.8101392,,,101.874448,-41.197411,5.5593271676,0.000354,0.044,0.044,0.052,0.033,-44.44,0.01,0.062,0.4767,3e-07,0.08,0.27,3e-06,214.3619,11.509347583,77.8746,44.4595,12.8245,86.14741613346621,139.64738460971594
3200 Phaethon (1983 TB),2017-Dec-17 22:00,2458105.416666667,14.6,0.15,*,m,355.32799,18.12992,355.55295,18.23036,-1564.3,-1452.86,24.5996,-23.7745,846.36,253.7,296516.8,149800.1,73.082,13.2799102359,999.0,,11.61,6.2,59.512,0.049,348832.4,*,0.121075,,,,,247.6,0.06,,,82.0606,1.2955,0.995101021333,-29.1258747,0.07117442495344,7.7625044,0.59194,32.94258,31.58132,96.8979,/T,79.0327,98.8,0.2,4.0664,67.608,65.4,3.6644,Peg,69.183538,3.4354358,18.4406674,,,100.404129,-41.65186,7.5586507947,0.000354,0.044,0.043,0.052,0.033,-44.032,0.01,0.062,0.471,3e-07,0.08,0.27,3e-06,214.4046,-10.423619725,79.0333,43.8581,12.6893,85.51444380260529,139.66508756724846
3200 Phaethon (1983 TB),2017-Dec-18 00:00,2458105.5,14.6,0.15,*,m,354.42052,17.32596,354.645,17.42621,-1547.95,-1441.87,52.3513,-10.6775,728.23,506.71,293207.2,146915.0,73.462,15.2853861763,999.0,,11.66,6.22,58.525,0.0499,344560.2,*,0.120423,,,,,247.25,0.06,,,82.1001,1.2794,0.99369849618,-29.1575752,0.07155986958962,8.261486,0.595145,32.98077,31.59703,95.7112,/T,80.1822,97.1,0.1,4.1037,67.259,64.84,4.08957,Peg,69.183539,2.2549831,18.0705086,,,98.926803,-42.080123,9.5580063264,0.000354,0.044,0.043,0.052,0.033,-43.642,0.01,0.061,0.4674,3e-07,0.07,0.27,3e-06,214.4474,-8.357613882,80.1827,43.2636,12.5514,84.88648776164717,139.68276312464536
3200 Phaethon (1983 TB),2017-Dec-18 02:00,2458105.583333333,14.6,0.15,*,m,353.52537,16.52804,353.74944,16.62808,-1534.88,-1431.25,75.011,8.4957,634.48,625.02,289940.2,144050.9,73.831,17.2908621182,6.42,1.685,11.71,6.24,57.542,0.0508,340314.7,*,0.119736,,,,,246.93,0.06,,,82.1398,1.2632,0.992294446081,-29.1893485,0.07197075403568,8.824624,0.598563,33.01906,31.68298,94.5319,/T,81.3244,95.4,0.1,4.1409,66.936,64.317,4.50549,Peg,69.183541,1.0879763,17.7006479,,,97.440579,-42.481613,11.5573831698,0.000354,0.044,0.042,0.051,0.033,-43.269,0.01,0.061,0.4661,3e-07,0.07,0.27,3e-06,214.4903,-6.292434089,81.3248,42.6751,12.4114,84.26162018384018,139.70051482586462
3200 Phaethon (1983 TB),2017-Dec-18 04:00,2458105.666666667,14.6,0.15,*,m,352.6413,15.73592,352.86502,15.83574,-1521.67,-1421.06,97.0227,29.9028,621.02,642.94,286710.8,141206.7,74.191,19.2963380615,1.998,0.525,11.76,6.26,56.561,0.0517,336092.6,*,0.119008,,,,,246.63,0.06,,,82.1796,1.2469,0.990888867884,-29.2211947,0.07241069542253,9.4696822,0.602221,33.05746,31.81502,93.359,/T,82.46,93.7,0.1,4.1781,66.638,63.829,4.91229,Peg,69.183543,359.9333583,17.3311861,,,95.945525,-42.856454,13.5567649396,0.000354,0.043,0.042,0.051,0.032,-42.912,0.01,0.061,0.4669,3e-07,0.07,0.27,3e-06,214.5333,-4.227996855,82.4603,42.0921,12.2695,83.6395155062829,139.71833833667387
3200 Phaethon (1983 TB),2017-Dec-18 06:00,2458105.75,14.6,0.15,*,m,351.76912,14.94946,351.99253,15.04904,-1504.93,-1410.84,126.545,49.8163,734.83,514.26,283520.8,138382.0,74.542,21.301814006,1.307,0.343,11.82,6.28,55.584,0.0525,331897.1,*,0.118236,,,,,246.35,0.06,,,82.2195,1.2307,0.989481758446,-29.2531144,0.07288352963146,10.187716,0.606154,33.09596,31.9567,92.1936,/T,83.5879,92.0,0.1,4.2155,66.364,63.374,5.31075,Peg,69.183544,358.7919777,16.9615291,,,94.444191,-43.205472,15.5561338477,0.000354,0.043,0.042,0.051,0.032,-42.573,0.01,0.06,0.4699,3e-07,0.07,0.27,3e-06,214.5764,-2.16435469,83.5881,41.5149,12.125,83.02167199751636,139.73603352359726
3200 Phaethon (1983 TB),2017-Dec-18 08:00,2458105.833333333,14.6,0.15,N,,350.91135,14.1689,351.13448,14.26821,-1482.2,-1399.77,177.0548,59.8666,899.57,10.77,280377.7,135577.8,74.886,23.3072899516,1.155,0.303,11.87,6.3,54.614,0.0533,327737.5,*,0.117417,,,,,246.1,0.06,,,82.2595,1.2143,0.988073114507,-29.2851078,0.07339205016807,10.9453867,0.610383,33.13458,32.06945,91.0382,/T,84.7053,90.1,0.1,4.2535,66.114,62.95,5.70196,Peg,69.183546,357.6664349,16.5907453,,,92.941403,-43.530043,17.5554754699,0.000354,0.043,0.041,0.05,0.032,-42.25,0.01,0.06,0.475,3e-07,0.07,0.26,3e-06,214.6197,-0.101675314,84.7055,40.9447,11.9769,82.41110094903,139.7538998935859
3200 Phaethon (1983 TB),2017-Dec-18 10:00,2458105.916666667,14.6,0.15,,,350.07143,13.39493,350.29431,13.49397,-1452.74,-1387.01,228.2728,50.2417,741.26,-514.05,277292.2,132797.0,75.225,1.3127658983,1.299,0.341,11.93,6.32,53.654,0.054,323627.4,*,0.116551,,,,,245.87,0.06,,,82.2996,1.1979,0.986662932593,-29.3171753,0.07393703578398,11.6943551,0.614916,33.17329,32.12283,89.8965,/T,85.8086,88.0,0.1,4.292,65.887,62.554,6.08702,Peg,69.183549,356.5603961,16.2179858,,,91.443382,-43.831819,19.5547826107,0.000354,0.043,0.041,0.05,0.032,-41.945,0.01,0.059,0.482,3e-07,0.07,0.26,3e-06,214.6631,1.95981188,85.8086,40.3833,11.8243,81.81157423625177,139.77173730771176
3200 Phaethon (1983 TB),2017-Dec-18 12:00,2458106.0,14.6,0.15,,,349.25267,12.62869,349.47534,12.72743,-1417.67,-1371.97,257.9726,29.9696,613.97,-663.8,274275.1,130044.0,75.559,3.3182418459,1.994,0.523,11.98,6.34,52.71,0.0547,319580.6,*,0.115645,,,,,245.67,0.06,,,82.3398,1.1815,0.985251208979,-29.3493172,0.07451684987535,12.3850554,0.619738,33.21212,32.1023,88.7724,/T,86.8937,85.9,0.1,4.3309,65.684,62.187,6.46667,Peg,69.183552,355.4775912,15.8428531,,,89.956466,-44.112372,21.5540572307,0.000354,0.043,0.04,0.05,0.031,-41.659,0.01,0.059,0.4907,3e-07,0.07,0.25,3e-06,214.7066,4.019886026,86.8936,39.8324,11.6661,81.22665265692393,139.78954548019686
3200 Phaethon (1983 TB),2017-Dec-18 14:00,2458106.083333333,14.6,0.15,,,348.45726,11.8715,348.67975,11.96994,-1379.66,-1354.46,279.4213,7.5094,611.58,-668.6,271334.1,127323.9,75.89,5.3237177943,7.16,1.879,12.04,6.36,51.782,0.0553,315608.4,*,0.114704,,,,,245.48,0.06,,,82.3801,1.165,0.983837939714,-29.3815339,0.07512772911543,12.9808443,0.624818,33.25105,32.01285,87.669,/T,87.9578,83.6,0.2,4.3702,65.503,61.846,6.84105,Peg,69.183555,354.4207964,15.4656229,,,88.485815,-44.372854,23.5533099221,0.000354,0.042,0.04,0.049,0.031,-41.39,0.01,0.058,0.5009,3e-07,0.07,0.25,3e-06,214.7503,6.078401126,87.9576,39.2935,11.5023,80.65877629878125,139.80742406630517
3200 Phaethon (1983 TB),2017-Dec-18 16:00,2458106.166666667,14.6,0.15,,,347.6856,11.12468,347.90796,11.22279,-1342.14,-1334.8,301.1654,-13.6355,695.65,-583.32,268471.3,124641.5,76.217,7.3291937432,999.0,,12.1,6.38,50.873,0.0559,311716.4,*,0.11374,,,,,245.33,0.06,,,82.4206,1.1485,0.982423120707,-29.4138257,0.07576467827183,13.4684166,0.630116,33.29009,31.87772,86.5879,/T,88.9996,81.4,0.2,4.4095,65.345,61.531,7.2097,Peg,69.183558,353.3911033,15.0872698,,,87.034475,-44.613756,1.552557074,0.000354,0.042,0.04,0.049,0.031,-41.137,0.01,0.058,0.5124,3e-07,0.07,0.24,3e-06,214.794,8.135329659,88.9992,38.7673,11.3332,80.10867805600253,139.8252761615743
3200 Phaethon (1983 TB),2017-Dec-18 18:00,2458106.25,14.6,0.15,,,346.93619,10.38925,347.15847,10.48703,-1308.35,-1313.6,328.8496,-29.8802,834.23,-362.18,265682.6,122000.5,76.54,9.3346696928,999.0,,12.15,6.4,49.983,0.0564,307903.5,*,0.112761,,,,,245.19,-0.06,,,82.4612,1.1319,0.981006747849,-29.446193,0.07642271336835,13.8615171,0.635588,33.32924,31.73262,85.5288,/T,90.0196,79.3,0.3,4.4487,65.208,61.24,7.57155,Peg,69.183561,352.3876777,14.7093055,,,85.603071,-44.83485,3.5518164869,0.000354,0.042,0.039,0.048,0.031,-40.901,0.01,0.057,0.5251,3e-07,0.07,0.24,4e-06,214.8379,10.190771901,90.0191,38.2538,11.1596,79.57527703454919,139.843197936942
3200 Phaethon (1983 TB),2017-Dec-18 20:00,2458106.333333333,14.6,0.15,,,346.206,9.66585,346.42824,9.76328,-1280.4,-1291.66,4.4634,-35.7608,910.5,29.91,262958.9,119403.1,76.856,11.3401456426,999.0,,12.21,6.42,49.111,0.0569,304163.2,*,0.111773,,,,,245.07,-0.06,,,82.5019,1.1153,0.979588817134,-29.4786363,0.07709809769416,14.196953,0.641205,33.3685,31.61639,84.4898,/T,91.0197,77.3,0.4,4.4876,65.09,60.972,7.92528,Peg,69.183564,351.4080633,14.3334834,,,84.190179,-45.035333,5.5511026087,0.000354,0.041,0.039,0.048,0.03,-40.679,0.01,0.057,0.5386,3e-07,0.06,0.23,4e-06,214.8819,-11.75507053,91.0191,37.7519,10.983,79.05607046859014,139.8610891593871
3200 Phaethon (1983 TB),2017-Dec-18 22:00,2458106.416666667,14.6,0.15,*,,345.49128,8.95468,345.71355,9.05176,-1258.78,-1269.7,39.344,-28.1593,820.2,399.79,260288.3,116849.5,77.167,13.3456215929,999.0,,12.27,6.44,48.253,0.0573,300485.1,*,0.11078,,,,,244.97,-0.06,,,82.5427,1.0986,0.978169324746,-29.5111557,0.07778922064373,14.5241109,0.646953,33.40787,31.56045,83.4681,/T,92.003,75.5,0.5,4.526,64.989,60.727,8.26953,Peg,69.183566,350.4489235,13.961453,,,82.793255,-45.214162,7.5504226688,0.000354,0.041,0.038,0.047,0.03,-40.47,0.01,0.056,0.553,3e-07,0.06,0.23,4e-06,214.9261,-9.701948277,92.0023,37.2603,10.8048,78.54789947520979,139.87904948987975
3200 Phaethon (1983 TB),2017-Dec-19 00:00,2458106.5,14.6,0.15,*,m,344.78857,8.25563,345.0109,8.35235,-1242.23,-1248.16,66.3529,-11.2117,698.68,589.02,257659.4,114339.1,77.469,15.3510975432,999.0,,12.33,6.46,47.408,0.0577,296858.8,*,0.109781,,,,,244.88,-0.05,,,82.5836,1.0819,0.976748267088,-29.5437518,0.07849687305194,14.8909707,0.652839,33.44736,31.57987,82.4608,/T,92.9722,73.8,0.6,4.564,64.905,60.502,8.6033,Peg,69.183568,349.5069988,13.5944526,,,81.409819,-45.370484,9.5497747414,0.000354,0.041,0.038,0.047,0.03,-40.274,0.01,0.055,0.5681,3e-07,0.06,0.23,4e-06,214.9703,-7.649629367,92.9714,36.7778,10.6261,78.04786808255164,139.89697868761857
3200 Phaethon (1983 TB),2017-Dec-19 02:00,2458106.583333333,14.6,0.15,*,m,344.09553,7.56838,344.31797,7.66474,-1228.15,-1227.19,88.691,9.6541,648.65,645.5,255064.1,111870.5,77.764,17.3565734936,5.72,1.502,12.39,6.48,46.574,0.0581,293276.8,*,0.108774,,,,,244.81,-0.05,,,82.6246,1.0651,0.975325640745,-29.5764249,0.07922384337449,15.3305486,0.658885,33.48695,31.66898,81.4658,/T,93.9294,72.2,0.7,4.6018,64.837,60.297,8.92615,Psc,69.183569,348.5800036,13.233114,,,80.038557,-45.504055,11.5491482615,0.000354,0.04,0.037,0.046,0.029,-40.091,0.01,0.055,0.5838,3e-07,0.06,0.22,4e-06,215.0147,-5.597957676,93.9286,36.3032,10.4475,77.55415792652273,139.9149764164492
3200 Phaethon (1983 TB),2017-Dec-19 04:00,2458106.666666667,14.6,0.15,*,m,343.41152,6.89267,343.63407,6.98866,-1213.37,-1206.64,112.474,30.6675,697.11,594.53,252499.5,109442.5,78.051,19.3620494438,1.954,0.513,12.44,6.5,45.752,0.0585,289736.4,*,0.107753,,,,,244.76,-0.05,,,82.6658,1.0483,0.973901442383,-29.6091752,0.07997394954264,15.85157,0.665123,33.52665,31.80306,80.4823,/T,94.8751,70.7,0.7,4.6396,64.783,60.111,9.23832,Psc,69.183571,347.6672129,12.8774196,,,78.68001,-45.615525,13.5485268547,0.000354,0.04,0.037,0.046,0.029,-39.92,0.01,0.054,0.6,3e-07,0.06,0.22,4e-06,215.0592,-3.546888777,94.8741,35.8363,10.2691,77.06651797312745,139.93294523884896
3200 Phaethon (1983 TB),2017-Dec-19 06:00,2458106.75,14.6,0.15,*,m,342.7376,6.22835,342.96029,6.32396,-1195.07,-1186.16,146.0485,47.193,847.62,350.16,249968.1,107054.6,78.332,21.3675253939,1.361,0.357,12.5,6.52,44.941,0.0588,286241.0,*,0.106717,,,,,244.71,-0.05,,,82.7071,1.0314,0.972475668633,-29.6420033,0.08075078007219,16.4360115,0.671584,33.56647,31.9454,79.5114,/T,95.808,69.1,0.8,4.6777,64.742,59.942,9.54064,Peg,69.183573,346.7695814,12.5268158,,,77.336674,-45.706505,15.5478927243,0.000354,0.039,0.036,0.045,0.029,-39.761,0.01,0.054,0.6167,3e-07,0.06,0.22,4e-06,215.1039,-1.496493878,95.807,35.3776,10.0903,76.5862998585554,139.9509818387522
3200 Phaethon (1983 TB),2017-Dec-19 08:00,2458106.833333333,14.6,0.15,N,,342.07615,5.57548,342.29899,5.67071,-1171.53,-1165.37,193.0796,50.62,902.21,-168.32,247477.0,104707.4,78.607,23.3730013435,1.292,0.339,12.56,6.53,44.145,0.059,282798.3,*,0.105663,,,,,244.69,-0.05,,,82.7485,1.0145,0.971048315966,-29.6749094,0.0815565010354,17.0442336,0.678285,33.6064,32.05758,78.5551,/T,96.7258,67.5,0.9,4.7161,64.716,59.79,9.83437,Peg,69.183575,345.8893727,12.1804467,,,76.012494,-45.779369,17.54723142,0.000354,0.039,0.036,0.045,0.028,-39.614,0.01,0.053,0.6336,3e-07,0.06,0.21,4e-06,215.1487,0.553068645,96.7248,34.9279,9.9104,76.11603836586873,139.9689859596883
