targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp
3200 Phaethon (1983 TB),2012-May-03 07:39:14.499,2456050.818917809,14.6,0.15,,,36.24186,13.53533,36.40837,13.58958,-409.75,81.98187,,,,,-15296.0,-8038.38,242.976,,999,,18.0,5.0,9.251,0.0088,17350.5,*,0.009731,,,,,61.84,0.0,,,253.3736,-4.8234,0.146103513634,21.842202,0.88553470421956,32.7977412,7.364768,106.9854,81.44779,4.8196,/L,144.5791,144.5,88.3,30.6186,241.812,92.915,16.46766,Ari,66.185448,38.5236743,-0.7953463,,,155.021545,-43.43591,,0.0,0.071,0.004,0.071,0.001,-2.951,0.0,0.071,15.9221,0.0001021,2.02,7.36,0.000106,25.0396,,144.5847,326.1684,-9.2816,110.65315624183904
3200 Phaethon (1983 TB),2012-May-03 10:03:14.499,2456050.918917809,14.6,0.15,,,35.96382,13.59071,36.13031,13.64516,-401.011,84.75041,,,,,-16589.4,-7943.24,245.156,,999,,17.0,5.0,10.432,0.0087,18470.72,*,0.00971,,,,,63.92,0.0,,,255.5626,-3.9498,0.147420060442,23.7417577,0.88749320244845,35.0142781,7.381056,106.4774,81.22157,5.1308,/L,142.3078,146.2,89.1,32.5789,243.894,93.242,16.40257,Ari,66.185446,38.2855099,-0.6560354,,,154.658657,-43.518243,,0.0,0.07,0.004,0.07,0.001,-3.287,0.0,0.07,16.9946,9.74e-05,1.94,7.04,0.000113,27.3905,,142.3134,327.0257,-7.157,111.4199171890184
3200 Phaethon (1983 TB),2012-May-03 12:27:14.499,2456051.018917809,14.6,0.15,,,35.69185,13.64789,35.85833,13.70254,-391.867,87.36373,,,,,-17861.6,-7841.48,247.082,,999,,17.0,4.0,11.671,0.0086,19591.03,*,0.009687,,,,,65.75,0.0,,,257.7067,-3.0866,0.148844173454,25.5674635,0.88957666954287,37.125923,7.398384,105.9352,80.96987,5.442,/L,140.0424,147.9,89.8,34.5332,245.722,93.567,16.3356,Ari,66.185445,38.0537425,-0.5166656,,,154.300711,-43.5947,,0.0,0.069,0.004,0.069,0.001,-3.622,0.0,0.069,18.0197,9.26e-05,1.85,6.71,0.00012,29.6981,,140.048,327.8979,-5.2915,112.13937569628727
3200 Phaethon (1983 TB),2012-May-03 14:51:14.499,2456051.118917808,14.6,0.15,,,35.42621,13.70677,35.59267,13.7616,-382.381,89.81949,,,,,-19111.6,-7733.49,248.796,,999,,17.0,4.0,12.961,0.0084,20706.82,*,0.009663,,,,,67.37,0.0,,,259.8054,-2.2363,0.150371518429,27.3170764,0.8917789775331,39.1304484,7.4167,105.3622,80.69471,5.7519,/L,137.7928,149.6,90.5,36.4729,247.339,93.89,16.26687,Ari,66.185443,37.8285677,-0.377438,,,153.948211,-43.665321,,0.0,0.067,0.005,0.067,0.001,-3.955,0.0,0.067,18.9961,8.77e-05,1.75,6.37,0.000127,31.9604,,137.7985,328.778,-3.6434,112.81158259465688
3200 Phaethon (1983 TB),2012-May-03 17:15:14.499,2456051.218917808,14.6,0.15,,,35.16711,13.76723,35.33356,13.82224,-372.615,92.11681,,,,,-20338.6,-7619.64,250.33,,999,,17.0,4.0,14.293,0.0083,21814.41,*,0.009638,,,,,68.81,0.0,,,261.8581,-1.4006,0.151997654239,28.9891212,0.89409390118733,41.0266886,7.435952,104.7615,80.39807,6.0596,/L,135.5669,151.4,91.2,38.3911,248.779,94.212,16.19653,Ari,66.185442,37.6101404,-0.2385415,,,153.601607,-43.730169,,0.0,0.066,0.005,0.066,0.001,-4.288,0.0,0.066,19.9229,8.28e-05,1.66,6.04,0.000133,34.1758,,135.5725,329.6604,-2.1793,113.43633919931253
3200 Phaethon (1983 TB),2012-May-03 19:39:14.499,2456051.318917809,14.6,0.15,,,34.91472,13.82918,35.08116,13.88437,-362.627,94.25622,,,,,-21542.1,-7500.3,251.713,,999,,16.0,4.0,15.661,0.0081,22910.88,*,0.009612,,,,,70.1,0.0,,,263.8647,-0.5815,0.153718075606,30.582835,0.89651517670307,42.8144494,7.456089,104.1361,80.08197,6.3641,/L,133.3707,153.1,91.9,40.2827,250.068,94.532,16.12469,Ari,66.185441,37.3985772,-0.1001519,,,153.261301,-43.789334,,0.0,0.065,0.005,0.065,0.001,-4.618,0.0,0.065,20.8,7.79e-05,1.57,5.7,0.000139,36.3428,,133.3763,330.5409,-0.8717,114.0144116583318
3200 Phaethon (1983 TB),2012-May-03 22:03:14.499,2456051.418917809,14.6,0.15,,,34.66919,13.89251,34.83562,13.94786,-352.474,96.23945,,,,,-22721.6,-7375.86,252.967,,999,,16.0,4.0,17.056,0.008,23993.91,*,0.009585,,,,,71.26,0.0,,,265.8252,0.2198,0.155528252416,32.0981028,0.89903655498,44.4944081,7.477059,103.4891,79.74836,6.665,/L,131.2093,154.8,92.5,42.1432,251.228,94.85,16.05149,Ari,66.185439,37.1939583,0.0375685,,,152.92764,-43.842925,,0.0,0.063,0.006,0.064,0.001,-4.948,0.0,0.064,21.6275,7.3e-05,1.48,5.37,0.000144,38.4607,,131.2149,331.4159,0.3017,114.54639000687408
3200 Phaethon (1983 TB),2012-May-04 00:27:14.499,2456051.518917809,14.6,0.15,,,34.4306,13.95711,34.59703,14.01263,-342.208,98.0693,,,,,-23876.8,-7246.69,254.11,,999,,16.0,4.0,18.472,0.0078,25061.65,*,0.009557,,,,,72.31,0.0,,,267.7396,1.0019,0.157423665118,33.5353878,0.90165184887988,46.0680079,7.49881,102.8233,79.39916,6.9616,/L,129.0864,156.5,93.1,43.9694,252.278,95.166,15.97706,Ari,66.185438,36.9963301,0.1744708,,,152.600924,-43.891069,,0.0,0.062,0.006,0.062,0.001,-5.275,0.0,0.062,22.4059,6.83e-05,1.39,5.04,0.000149,40.5286,,129.092,332.2828,1.3593,115.03339147468611
3200 Phaethon (1983 TB),2012-May-04 02:51:14.499,2456051.618917808,14.6,0.15,,,34.19902,14.02289,34.36545,14.07857,-331.876,99.7495,,,,,-25007.4,-7113.15,255.156,,999,,16.0,4.0,19.902,0.0076,26112.66,*,0.009529,,,,,73.27,0.0,,,269.6085,1.764,0.159399836031,34.8956598,0.90435497432382,47.5373509,7.521291,102.1416,79.03619,7.2535,/L,127.005,158.2,93.7,45.7587,253.234,95.48,15.90151,Ari,66.185436,36.8057078,0.3104199,,,152.281404,-43.933906,,0.0,0.061,0.006,0.061,0.002,-5.602,0.0,0.061,23.1361,6.36e-05,1.3,4.72,0.000154,42.5464,,127.0106,333.1394,2.3164,115.476734134021
3200 Phaethon (1983 TB),2012-May-04 05:15:14.499,2456051.718917808,14.6,0.15,,,33.97449,14.08974,34.14091,14.14557,-321.523,101.2845,,,,,-26113.5,-6975.6,256.118,,999,,16.0,4.0,21.341,0.0075,27145.81,*,0.0095,,,,,74.14,0.0,,,271.4321,2.5053,0.161452356546,36.1803238,0.90713998530846,48.9050926,7.544453,101.4465,78.66122,7.5405,/L,124.9674,159.8,94.3,47.5092,254.107,95.792,15.82498,Ari,66.185435,36.6220787,0.445294,,,151.969284,-43.971592,,0.0,0.059,0.006,0.06,0.002,-5.927,0.0,0.06,23.8192,5.91e-05,1.21,4.41,0.000159,44.5137,,124.973,333.984,3.1858,115.8777966028185
