targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp
3200 Phaethon (1983 TB),2012-Aug-19 07:24:50.499,2456158.808917813,14.6,0.15,,,62.63309,40.2637,62.85291,40.29374,8.417189,20.49939,,,,,-302455.0,99677.29,309.161,,999,,18.48,6.62,91.959,0.0004,284173.3,*,0.00499,,,,,82.78,0.0,,,33.4977,17.8057,1.82634461591,14.2604911,1.72678455607418,-11.1228743,14.361229,16.54007,13.53353,78.937,/L,32.9447,100.2,3.5,68.1198,262.689,14.321,-11.22614,Per,67.182869,68.4209465,18.8691212,,,159.000048,-8.274544,,0.0,0.008,0.007,0.009,0.006,30.119,0.0,0.011,11.5646,7e-07,0.01,0.04,7.7e-05,163.9564,,32.9456,50.8135,19.1517,86.50070843356976
3200 Phaethon (1983 TB),2012-Aug-20 07:24:50.499,2456159.808917813,14.6,0.15,,,62.70164,40.40043,62.92188,40.4304,7.316951,20.49502,,,,,-305855.0,101355.9,309.432,,999,,18.48,6.62,91.993,0.0004,287194.6,*,0.005009,,,,,82.52,0.0,,,33.652,17.7703,1.834543203456,14.1296255,1.72030264527052,-11.3232832,14.307321,16.40831,13.60546,79.7763,/L,32.8733,113.2,8.6,67.3519,262.435,13.082,-11.36996,Per,67.182849,68.5031567,18.9931735,,,158.943596,-8.139216,,0.0,0.008,0.007,0.009,0.006,29.862,0.0,0.011,11.5286,7e-07,0.01,0.04,7.7e-05,164.1075,,32.8741,50.9235,19.1941,86.43002097238909
3200 Phaethon (1983 TB),2012-Aug-21 07:24:50.499,2456160.808917813,14.6,0.15,,,62.76061,40.53711,62.98126,40.56701,6.197448,20.48812,,,,,-309283.0,103045.9,309.702,,999,,18.48,6.63,92.03,0.0004,290239.9,*,0.005029,,,,,82.26,0.0,,,33.8049,17.735,1.842666520096,13.999822,1.71370733892568,-11.51555,14.252469,16.27788,13.68309,80.6222,/L,32.7966,126.0,16.0,66.5827,262.171,11.826,-11.5124,Per,67.18283,68.577704,19.1186274,,,158.881688,-8.00904,,0.0,0.008,0.007,0.009,0.006,29.603,0.0,0.011,11.4921,7e-07,0.01,0.04,7.7e-05,164.2573,,32.7974,51.0288,19.2371,86.36003242912894
3200 Phaethon (1983 TB),2012-Aug-22 07:24:50.499,2456161.808917813,14.6,0.15,,,62.80978,40.67373,63.03086,40.70357,5.058772,20.47822,,,,,-312740.0,104747.0,309.972,,999,,18.48,6.64,92.068,0.0004,293309.4,*,0.005048,,,,,81.99,0.0,,,33.9564,17.7,1.850715172529,13.8710584,1.70700335922251,-11.6996127,14.196714,16.14876,13.76625,81.4748,/L,32.7147,138.5,25.2,65.812,261.899,10.554,-11.6534,Per,67.18281,68.6444554,19.2454808,,,158.814267,-7.884116,,0.0,0.008,0.007,0.009,0.006,29.342,0.0,0.011,11.455,7e-07,0.01,0.04,7.6e-05,164.4058,,32.7154,51.1294,19.2806,86.290596356412
3200 Phaethon (1983 TB),2012-Aug-23 07:24:50.499,2456162.808917813,14.6,0.15,,,62.84894,40.81026,63.07047,40.84005,3.900957,20.46489,,,,,-316225.0,106458.8,310.241,,999,,18.47,6.65,92.109,0.0004,296403.3,*,0.005069,,,,,81.71,0.0,,,34.1065,17.6651,1.858689754741,13.743313,1.70019545196154,-11.87545,14.140094,16.02091,13.85478,82.3342,/L,32.6273,149.8,35.7,65.0399,261.618,9.266,-11.79289,Per,67.182792,68.7032758,19.3737303,,,158.741277,-7.764544,,0.0,0.008,0.007,0.009,0.006,29.08,0.0,0.011,11.4172,7e-07,0.01,0.04,7.6e-05,164.5529,,32.6279,51.2254,19.3246,86.22186587369345
3200 Phaethon (1983 TB),2012-Aug-24 07:24:50.499,2456163.808917813,14.6,0.15,,,62.87789,40.94667,63.09988,40.97644,2.723938,20.44768,,,,,-319738.0,108180.8,310.509,,999,,18.47,6.65,92.153,0.0004,299521.9,*,0.005089,,,,,81.42,0.0,,,34.2553,17.6304,1.866590848353,13.6165646,1.69328836600752,-12.0430706,14.08265,15.89432,13.94854,83.2005,/L,32.5343,158.0,47.0,64.2666,261.328,7.963,-11.93084,Per,67.182773,68.7540256,19.5033708,,,158.66266,-7.650424,,0.0,0.008,0.007,0.009,0.006,28.817,0.0,0.011,11.3787,7e-07,0.01,0.04,7.6e-05,164.6989,,32.5348,51.3166,19.3691,86.15370609649696
3200 Phaethon (1983 TB),2012-Aug-25 07:24:50.499,2456164.808917813,14.6,0.15,,,62.89642,41.08295,63.11887,41.1127,1.527524,20.42614,,,,,-323281.0,109912.6,310.777,,999,,18.47,6.66,92.2,0.0004,302665.5,*,0.00511,,,,,81.12,0.0,,,34.4028,17.5959,1.874419022959,13.4907927,1.68628683982786,-12.2024995,14.02442,15.76896,14.04742,84.0738,/L,32.4356,159.1,58.4,63.4921,261.028,6.644,-12.06717,Per,67.182755,68.7965598,19.6343959,,,158.57836,-7.541855,,0.0,0.008,0.007,0.009,0.006,28.553,0.0,0.011,11.3394,7e-07,0.01,0.04,7.6e-05,164.8436,,32.436,51.403,19.4141,86.0861200989358
3200 Phaethon (1983 TB),2012-Aug-26 07:24:50.499,2456165.808917813,14.6,0.15,,,62.9043,41.21905,63.12723,41.2488,0.31139,20.39975,,,,,-326854.0,111653.8,311.045,,999,,18.47,6.67,92.248,0.0004,305834.3,*,0.005132,,,,,80.81,0.0,,,34.549,17.5616,1.882174836452,13.3659773,1.67919559618496,-12.3537637,13.965444,15.64481,14.15128,84.954,/L,32.331,152.2,69.4,62.7164,260.717,5.31,-12.20184,Per,67.182737,68.8307282,19.766798,,,158.488318,-7.438939,,0.0,0.008,0.007,0.009,0.006,28.289,0.0,0.011,11.2994,7e-07,0.01,0.04,7.5e-05,164.9871,,32.3314,51.4846,19.4595,86.01911090652592
3200 Phaethon (1983 TB),2012-Aug-27 07:24:50.499,2456166.808917813,14.6,0.15,,,62.90132,41.35495,63.12472,41.38473,-0.92492,20.36799,,,,,-330457.0,113404.0,311.313,,999,,18.46,6.67,92.3,0.0004,309028.6,*,0.005154,,,,,80.49,0.0,,,34.6939,17.5275,1.889858835335,13.2420988,1.67201934515708,-12.4968778,13.905761,15.52184,14.26002,85.8413,/L,32.2206,141.5,79.2,61.9396,260.396,3.962,-12.33479,Per,67.182719,68.856375,19.9005685,,,158.392476,-7.34178,,0.0,0.008,0.007,0.009,0.006,28.025,0.0,0.011,11.2584,7e-07,0.01,0.04,7.5e-05,165.1294,,32.2209,51.5612,19.5053,85.95268149675135
3200 Phaethon (1983 TB),2012-Aug-28 07:24:50.499,2456167.808917813,14.6,0.15,,,62.88725,41.49061,63.1111,41.52042,-2.18198,20.33022,,,,,-334091.0,115162.6,311.581,,999,,18.46,6.68,92.354,0.0004,312248.7,*,0.005176,,,,,80.16,0.0,,,34.8377,17.4935,1.897471555024,13.1191385,1.66476279517388,-12.6318307,13.84541,15.40005,14.37349,86.7358,/L,32.104,129.5,87.5,61.1616,260.065,2.6,-12.46595,Per,67.182702,68.8733408,20.0356972,,,158.29077,-7.250482,,0.0,0.009,0.007,0.009,0.006,27.761,0.0,0.011,11.2166,7e-07,0.01,0.04,7.5e-05,165.2706,,32.1042,51.6329,19.5516,85.88678241226806
3200 Phaethon (1983 TB),2012-Aug-29 07:24:50.499,2456168.808917813,14.6,0.15,,,62.86185,41.62597,63.08614,41.65584,-3.46045,20.28577,,,,,-337756.0,116929.3,311.85,,999,,18.45,6.69,92.411,0.0004,315495.0,*,0.005199,,,,,79.81,0.0,,,34.9802,17.4597,1.905013520138,12.9970777,1.65743067131561,-12.7585742,13.784431,15.27939,14.49155,87.6375,/L,31.9812,117.0,93.8,60.3827,259.722,1.225,-12.59526,Per,67.182685,68.8814628,20.1721728,,,158.183138,-7.165154,,0.0,0.009,0.007,0.009,0.006,27.498,0.0,0.011,11.1738,7e-07,0.01,0.04,7.5e-05,165.4106,,31.9814,51.6995,19.5983,85.8214686299913
3200 Phaethon (1983 TB),2012-Aug-30 07:24:50.499,2456169.808917813,14.6,0.15,,,62.82489,41.76101,63.04958,41.79093,-4.76105,20.23383,,,,,-341453.0,118703.6,312.118,,999,,18.45,6.69,92.471,0.0004,318767.6,*,0.005223,,,,,79.46,0.0,,,35.1216,17.426,1.912485244774,12.8758985,1.65002773942737,-12.8770144,13.722862,15.15987,14.61402,88.5466,/L,31.8522,104.4,97.9,59.6027,259.367,359.837,-12.72266,Per,67.182668,68.8805754,20.3099816,,,158.069512,-7.08591,,0.0,0.009,0.007,0.009,0.006,27.236,0.0,0.011,11.13,6e-07,0.01,0.04,7.4e-05,165.5496,,31.8522,51.761,19.6454,85.75669031372824
3200 Phaethon (1983 TB),2012-Aug-31 07:24:50.499,2456170.808917813,14.6,0.15,,,62.77611,41.89565,63.0012,41.92565,-6.0845,20.17354,,,,,-345183.0,120484.9,312.388,,999,,18.44,6.7,92.533,0.0004,322067.0,*,0.005246,,,,,79.09,0.0,,,35.2618,17.3926,1.91988723278,12.7555834,1.64255883367912,-12.9870085,13.660745,15.04145,14.74071,89.4631,/L,31.7166,91.9,99.7,58.8217,259.0,358.437,-12.84806,Per,67.182652,68.87051,20.4491082,,,157.949823,-7.012865,,0.0,0.009,0.007,0.009,0.006,26.976,0.0,0.011,11.0851,6e-07,0.01,0.04,7.4e-05,165.6875,,31.7166,51.8174,19.6928,85.69236449752218
3200 Phaethon (1983 TB),2012-Sep-01 07:24:50.499,2456171.808917813,14.6,0.15,,,62.71526,42.02985,62.94072,42.05994,-7.43146,20.1039,,,,,-348946.0,122272.8,312.658,,999,,18.44,6.7,92.598,0.0004,325393.5,*,0.005271,,,,,78.71,0.0,,,35.4009,17.3592,1.927219978015,12.6361154,1.63502888446509,-13.0883669,13.598121,14.92412,14.87138,90.3871,/L,31.5745,79.7,99.2,58.0398,258.621,357.026,-12.9714,Per,67.182636,68.8510938,20.5895338,,,157.823999,-6.94614,,0.0,0.009,0.007,0.009,0.007,26.719,0.0,0.011,11.0391,6e-07,0.01,0.04,7.4e-05,165.8243,,31.5744,51.8686,19.7407,85.62865356418568
3200 Phaethon (1983 TB),2012-Sep-02 07:24:50.499,2456172.808917813,14.6,0.15,,,62.64206,42.16354,62.86791,42.19371,-8.80253,20.02387,,,,,-352743.0,124066.8,312.93,,999,,18.43,6.71,92.666,0.0004,328747.5,*,0.005295,,,,,78.32,0.0,,,35.5389,17.3261,1.934483964598,12.5174777,1.62744294347279,-13.1808607,13.53503,14.80787,15.00579,91.3187,/L,31.4256,67.8,96.7,57.257,258.228,355.605,-13.0926,Per,67.18262,68.8221491,20.7312367,,,157.691967,-6.885862,,0.0,0.009,0.007,0.009,0.007,26.464,0.0,0.011,10.9919,6e-07,0.01,0.04,7.3e-05,165.9601,,31.4254,51.9145,19.7888,85.5653364319865
3200 Phaethon (1983 TB),2012-Sep-03 07:24:50.499,2456173.808917813,14.6,0.15,,,62.55626,42.29664,62.78248,42.32692,-10.1982,19.93228,,,,,-356574.0,125866.2,313.203,,999,,18.42,6.71,92.737,0.0004,332129.2,*,0.00532,,,,,77.91,0.0,,,35.6759,17.2931,1.941679667153,12.3996541,1.61980620354802,-13.2642318,13.471517,14.69266,15.1437,92.2581,/L,31.2699,56.4,92.2,56.4734,257.822,354.174,-13.21158,Per,67.182605,68.7834927,20.8741911,,,157.553654,-6.83216,,0.0,0.009,0.007,0.009,0.007,26.212,0.0,0.012,10.9435,6e-07,0.01,0.04,7.3e-05,166.0949,,31.2696,51.955,19.8373,85.50250054415213
3200 Phaethon (1983 TB),2012-Sep-04 07:24:50.499,2456174.808917813,14.6,0.15,,,62.45758,42.42908,62.68417,42.45947,-11.6187,19.82794,,,,,-360440.0,127670.5,313.477,,999,,18.42,6.71,92.81,0.0004,335539.0,*,0.005345,,,,,77.49,0.0,,,35.8117,17.2602,1.948807551043,12.2826288,1.61212401236598,-13.3382038,13.407627,14.5785,15.28483,93.2053,/L,31.1071,45.6,86.2,55.6889,257.401,352.733,-13.32823,Per,67.18259,68.734935,21.018367,,,157.408983,-6.785166,,0.0,0.009,0.007,0.01,0.007,25.965,0.0,0.012,10.8938,6e-07,0.01,0.04,7.3e-05,166.2287,,31.1068,51.9901,19.8861,85.44027570620406
3200 Phaethon (1983 TB),2012-Sep-05 07:24:50.499,2456175.808917813,14.6,0.15,,,62.34573,42.56076,62.5727,42.59128,-13.0644,19.70958,,,,,-364342.0,129479.1,313.754,,999,,18.41,6.72,92.887,0.0004,338977.2,*,0.005371,,,,,77.06,0.0,,,35.9466,17.2275,1.9558680726,12.1663863,1.60440188034592,-13.4024909,13.343404,14.46535,15.42894,94.1603,/L,30.9373,35.7,78.9,54.9037,256.966,351.285,-13.44248,Per,67.182576,68.6762809,21.1637297,,,157.257882,-6.745018,,0.0,0.009,0.007,0.01,0.007,25.723,0.0,0.012,10.8428,6e-07,0.01,0.04,7.2e-05,166.3615,,30.9368,52.0197,19.9352,85.37839821556753
3200 Phaethon (1983 TB),2012-Sep-06 07:24:50.499,2456176.808917813,14.6,0.15,,,62.22043,42.69158,62.44779,42.72225,-14.5353,19.57587,,,,,-368281.0,131291.2,314.032,,999,,18.4,6.72,92.966,0.0004,342444.1,*,0.005397,,,,,76.61,0.0,,,36.0804,17.1949,1.962861679343,12.0509116,1.59664548424898,-13.4568035,13.278896,14.35321,15.57578,95.1234,/L,30.7601,27.5,70.7,54.1178,256.515,349.828,-13.55423,Per,67.182562,68.6073304,21.3102392,,,157.100277,-6.711855,,0.0,0.009,0.007,0.01,0.007,25.486,0.0,0.012,10.7903,6e-07,0.01,0.04,7.2e-05,166.4934,,30.7596,52.0436,19.9845,85.31707225141066
3200 Phaethon (1983 TB),2012-Sep-07 07:24:50.499,2456177.808917813,14.6,0.15,,,62.0814,42.82144,62.30915,42.85228,-16.0313,19.42544,,,,,-372257.0,133106.3,314.314,,999,,18.39,6.73,93.048,0.0004,345939.9,*,0.005424,,,,,76.14,0.0,,,36.2132,17.1625,1.969788810194,11.93619,1.58886066830085,-13.5008515,13.214151,14.24206,15.7251,96.0944,/L,30.5756,22.7,61.8,53.3313,256.049,348.366,-13.66336,Per,67.182549,68.5278792,21.4578504,,,156.936095,-6.685818,,0.0,0.009,0.007,0.01,0.007,25.255,0.0,0.012,10.7364,6e-07,0.01,0.04,7.2e-05,166.6243,,30.575,52.0619,20.034,85.2561616977806
3200 Phaethon (1983 TB),2012-Sep-08 07:24:50.499,2456178.808917813,14.6,0.15,,,61.92835,42.95023,62.15649,42.98126,-17.5525,19.25686,,,,,-376271.0,134923.5,314.597,,999,,18.39,6.73,93.133,0.0004,349464.8,*,0.00545,,,,,75.66,0.0,,,36.3451,17.1302,1.976649895684,11.8222071,1.58105344457122,-13.5343436,13.149221,14.13189,15.87668,97.0736,/L,30.3835,23.4,52.4,52.5442,255.566,346.897,-13.76977,Per,67.182536,68.4377199,21.6065122,,,156.765266,-6.667052,,0.0,0.009,0.007,0.01,0.007,25.031,0.0,0.012,10.681,6e-07,0.01,0.04,7.1e-05,166.7543,,30.3828,52.0745,20.0838,85.19567877458147
3200 Phaethon (1983 TB),2012-Sep-09 07:24:50.499,2456179.808917813,14.6,0.15,,,61.761,43.0778,61.98953,43.10904,-19.0984,19.06862,,,,,-380323.0,136742.2,314.885,,999,,18.38,6.73,93.221,0.0004,353019.1,*,0.005478,,,,,75.16,0.0,,,36.476,17.098,1.983445358154,11.7089488,1.57322999391956,-13.5569861,13.084155,14.02267,16.03028,98.0609,/L,30.1838,29.2,42.9,51.7566,255.066,345.423,-13.87335,Per,67.182524,68.3366427,21.7561678,,,156.587722,-6.655701,,0.0,0.009,0.007,0.01,0.007,24.815,0.0,0.012,10.624,6e-07,0.01,0.04,7.1e-05,166.8835,,30.183,52.0812,20.1336,85.13568937841916
3200 Phaethon (1983 TB),2012-Sep-10 07:24:50.499,2456180.808917813,14.6,0.15,,,61.57907,43.20404,61.80797,43.23551,-20.6688,18.8592,,,,,-384415.0,138561.3,315.175,,999,,18.37,6.73,93.312,0.0004,356603.0,*,0.005505,,,,,74.64,0.0,,,36.606,17.066,1.990175611945,11.5964017,1.56539666824083,-13.56848,13.019007,13.91441,16.18569,99.0564,/L,29.9763,37.9,33.6,50.9686,254.549,343.945,-13.97399,Per,67.182512,68.2244362,21.9067537,,,156.403397,-6.651911,,0.0,0.01,0.008,0.01,0.007,24.608,0.0,0.012,10.5654,6e-07,0.01,0.05,7e-05,167.0117,,29.9754,52.082,20.1836,85.07605712724991
3200 Phaethon (1983 TB),2012-Sep-11 07:24:50.499,2456181.808917813,14.6,0.15,,,61.38228,43.32879,61.61154,43.36051,-22.2632,18.62696,,,,,-388547.0,140380.2,315.47,,999,,18.36,6.74,93.406,0.0004,360216.5,*,0.005533,,,,,74.11,0.0,,,36.735,17.0341,1.996841063592,11.4845521,1.55755999407579,-13.5685194,12.953831,13.80708,16.34268,100.0601,/L,29.7609,48.3,24.6,50.1803,254.012,342.463,-14.07155,Per,67.1825,68.1008886,22.0581997,,,156.212229,-6.65583,,0.0,0.01,0.008,0.01,0.007,24.41,0.0,0.012,10.5051,6e-07,0.01,0.05,7e-05,167.1391,,29.7599,52.0768,20.2337,85.0169221693882
3200 Phaethon (1983 TB),2012-Sep-12 07:24:50.499,2456182.808917813,14.6,0.15,,,61.17036,43.45189,61.39996,43.48389,-23.8808,18.37025,,,,,-392719.0,142197.8,315.769,,999,,18.35,6.74,93.502,0.0004,363859.8,*,0.005561,,,,,73.55,0.0,,,36.8632,17.0024,2.003442111999,11.3733872,1.54972667687009,-13.5567909,12.888684,13.70066,16.50102,101.0722,/L,29.5374,59.5,16.5,49.3917,253.457,340.979,-14.16592,Per,67.18249,67.9657888,22.2104284,,,156.014159,-6.667605,,0.0,0.01,0.008,0.01,0.007,24.222,0.0,0.012,10.443,6e-07,0.01,0.05,7e-05,167.2657,,29.5364,52.0656,20.2838,84.95808380515159
3200 Phaethon (1983 TB),2012-Sep-13 07:24:50.499,2456183.808917813,14.6,0.15,,,60.94304,43.57318,61.17295,43.60546,-25.5208,18.08736,,,,,-396933.0,144013.2,316.073,,999,,18.34,6.74,93.601,0.0004,367532.9,*,0.005589,,,,,72.98,0.0,,,36.9905,16.9708,2.009979148618,11.2628941,1.5419036042545,-13.532978,12.823621,13.59516,16.66045,102.0925,/L,29.3059,71.4,9.5,48.6029,252.882,339.492,-14.25695,Per,67.182479,67.8189284,22.3633547,,,155.809133,-6.687383,,0.0,0.01,0.008,0.01,0.007,24.045,0.0,0.012,10.3791,6e-07,0.01,0.05,6.9e-05,167.3914,,29.3047,52.0482,20.3338,84.89968202285573
3200 Phaethon (1983 TB),2012-Sep-14 07:24:50.499,2456184.808917813,14.6,0.15,,,60.70006,43.69247,60.93026,43.72506,-27.182,17.77653,,,,,-401188.0,145825.4,316.382,,999,,18.33,6.74,93.704,0.0004,371235.8,*,0.005617,,,,,72.38,0.0,,,37.1169,16.9393,2.016452557618,11.1530604,1.53409784577621,-13.4967692,12.758703,13.49055,16.82074,103.1211,/L,29.0661,83.8,4.2,47.8141,252.287,338.005,-14.34451,Per,67.182469,67.6601037,22.5168855,,,155.597101,-6.715309,,0.0,0.01,0.008,0.01,0.007,23.881,0.0,0.012,10.3133,6e-07,0.01,0.05,6.9e-05,167.5163,,29.0648,52.0246,20.3838,84.84171849684044
3200 Phaethon (1983 TB),2012-Sep-15 07:24:50.499,2456185.808917813,14.6,0.15,,,60.44118,43.80958,60.67164,43.84248,-28.8632,17.43605,,,,,-405485.0,147633.3,316.697,,999,,18.31,6.74,93.808,0.0003,374968.4,*,0.005646,,,,,71.77,0.0,,,37.2425,16.9079,2.022862716054,11.0438739,1.52631664588445,-13.447873,12.693988,13.38683,16.98164,104.1579,/L,28.818,96.6,1.0,47.0253,251.67,336.517,-14.42847,Per,67.18246,67.4891189,22.6709192,,,155.378023,-6.751528,,0.0,0.01,0.008,0.01,0.007,23.728,0.0,0.013,10.2457,6e-07,0.01,0.05,6.8e-05,167.6404,,28.8167,51.9948,20.4338,84.78413050743288
3200 Phaethon (1983 TB),2012-Sep-16 07:24:50.499,2456186.808917813,14.6,0.15,,,60.16617,43.92429,60.39687,43.95753,-30.5625,17.06419,,,,,-409824.0,149436.0,317.018,,999,,18.3,6.74,93.916,0.0003,378730.6,*,0.005675,,,,,71.13,0.0,,,37.3672,16.8766,2.02920999402,10.9353226,1.51856740726618,-13.3860363,12.62954,13.28398,17.14291,105.203,/L,28.5615,109.6,0.2,46.2367,251.031,335.03,-14.50867,Per,67.182451,67.3057878,22.8253457,,,155.151861,-6.796178,,0.0,0.01,0.008,0.01,0.007,23.59,0.0,0.013,10.176,6e-07,0.01,0.05,6.8e-05,167.7637,,28.5601,51.9586,20.4835,84.72698396987518
3200 Phaethon (1983 TB),2012-Sep-17 07:24:50.499,2456187.808917813,14.6,0.15,,,59.87482,44.03639,60.10575,44.06998,-32.2781,16.65935,,,,,-414206.0,151232.1,317.347,,999,,18.29,6.74,94.026,0.0003,382522.2,*,0.005704,,,,,70.47,0.0,,,37.4911,16.8455,2.035494754812,10.827395,1.51085766341875,-13.3110619,12.56542,13.18199,17.30435,106.2562,/L,28.2966,122.6,2.1,45.4484,250.37,333.543,-14.58497,Per,67.182443,67.1099351,22.9800465,,,154.918588,-6.849395,,0.0,0.01,0.008,0.011,0.007,23.466,0.0,0.013,10.1043,6e-07,0.01,0.05,6.7e-05,167.8863,,28.2951,51.9159,20.533,84.67014211484437
3200 Phaethon (1983 TB),2012-Sep-18 07:24:50.499,2456188.808917813,14.6,0.15,,,59.56694,44.14567,59.7981,44.17962,-34.0079,16.21996,,,,,-418632.0,153020.7,317.682,,999,,18.28,6.74,94.139,0.0003,386342.8,*,0.005733,,,,,69.78,0.0,,,37.6143,16.8145,2.041717355078,10.7200797,1.50319504258866,-13.2228197,12.501692,13.08085,17.4658,107.3175,/L,28.0232,135.1,6.7,44.6605,249.685,332.059,-14.65721,Per,67.182435,66.9013964,23.1348947,,,154.678185,-6.911307,,0.0,0.01,0.008,0.011,0.007,23.356,0.0,0.013,10.0305,6e-07,0.01,0.05,6.7e-05,168.0081,,28.0216,51.8668,20.5822,84.61361588579263
3200 Phaethon (1983 TB),2012-Sep-19 07:24:50.499,2456189.808917813,14.6,0.15,,,59.24236,44.25188,59.47374,44.2862,-35.7498,15.74459,,,,,-423100.0,154800.5,318.026,,999,,18.27,6.74,94.254,0.0003,390192.1,*,0.005762,,,,,69.07,0.0,,,37.7366,16.7836,2.047878144959,10.6133654,1.495587228707,-13.1212457,12.43842,12.98056,17.62716,108.3867,/L,27.7413,146.3,13.7,43.8732,248.975,330.576,-14.72525,Per,67.182427,66.680016,23.2897556,,,154.43064,-6.982036,,0.0,0.01,0.008,0.011,0.007,23.263,0.0,0.013,9.9545,6e-07,0.02,0.06,6.6e-05,168.1292,,27.7396,51.8112,20.6311,84.55753568118962
3200 Phaethon (1983 TB),2012-Sep-20 07:24:50.499,2456190.808917813,14.6,0.15,,,58.90093,44.35477,59.13254,44.3895,-37.5018,15.23186,,,,,-427612.0,156570.2,318.38,,999,,18.25,6.74,94.371,0.0003,394069.7,*,0.005791,,,,,68.34,0.0,,,37.8582,16.7528,2.053977468238,10.5072413,1.48804192678012,-13.0063278,12.375667,12.88109,17.78839,109.4638,/L,27.4508,154.1,22.7,43.0866,248.239,329.097,-14.78893,Per,67.18242,66.4456455,23.4444873,,,154.175948,-7.061696,,0.0,0.01,0.008,0.011,0.007,23.186,0.0,0.013,9.8764,6e-07,0.02,0.06,6.6e-05,168.2496,,27.449,51.749,20.6796,84.50177388495227
3200 Phaethon (1983 TB),2012-Sep-21 07:24:50.499,2456191.808917813,14.6,0.15,,,58.54254,44.4541,58.77436,44.48926,-39.2616,14.68042,,,,,-432167.0,158328.7,318.742,,999,,18.24,6.74,94.491,0.0003,397974.9,*,0.00582,,,,,67.57,0.0,,,37.979,16.7221,2.060015662476,10.4016967,1.48056683905656,-12.8780836,12.313499,12.78245,17.9495,110.5486,/L,27.1518,155.3,33.1,42.3008,247.478,327.622,-14.8481,Per,67.182413,66.1981424,23.5989407,,,153.914113,-7.150397,,0.0,0.01,0.008,0.011,0.007,23.127,0.0,0.013,9.796,6e-07,0.02,0.06,6.5e-05,168.3692,,27.1499,51.6803,20.7276,84.44639640256071
3200 Phaethon (1983 TB),2012-Sep-22 07:24:50.499,2456192.808917813,14.6,0.15,,,58.16707,44.54961,58.3991,44.58522,-41.0274,14.08897,,,,,-436765.0,160074.6,319.116,,999,,18.23,6.74,94.613,0.0003,401907.2,*,0.00585,,,,,66.79,0.0,,,38.0991,16.6916,2.06599305914,10.2967212,1.47316965475906,-12.7365369,12.251978,12.68462,18.11051,111.6409,/L,26.8442,149.2,44.3,41.5161,246.689,326.151,-14.9026,Per,67.182407,65.9373707,23.7529601,,,153.645141,-7.248238,,0.0,0.011,0.008,0.011,0.007,23.085,0.0,0.013,9.7133,6e-07,0.02,0.06,6.5e-05,168.4882,,26.8422,51.6049,20.7751,84.39126618415699
3200 Phaethon (1983 TB),2012-Sep-23 07:24:50.499,2456193.808917813,14.6,0.15,,,57.77446,44.64101,58.00666,44.67711,-42.7971,13.45619,,,,,-441407.0,161806.6,319.501,,999,,18.21,6.74,94.737,0.0003,405866.0,*,0.005879,,,,,65.97,0.0,,,38.2184,16.6611,2.071909983738,10.1923046,1.46585805226772,-12.5816989,12.19117,12.58759,18.27149,112.7406,/L,26.5282,139.2,55.6,40.7324,245.872,324.685,-14.95228,Per,67.182401,65.6632027,23.9063831,,,153.369047,-7.355314,,0.0,0.011,0.008,0.011,0.007,23.062,0.0,0.013,9.6283,6e-07,0.02,0.06,6.4e-05,168.6064,,26.5261,51.5228,20.822,84.33659676159532
3200 Phaethon (1983 TB),2012-Sep-24 07:24:50.499,2456194.808917813,14.6,0.15,,,57.36465,44.72804,57.59699,44.76464,-44.5688,12.78077,,,,,-446092.0,163523.4,319.898,,999,,18.2,6.73,94.862,0.0003,409850.5,*,0.005908,,,,,65.12,0.0,,,38.3371,16.6307,2.077766755939,10.0884368,1.4586397102214,-12.4135561,12.131137,12.49136,18.43249,113.8474,/L,26.2037,127.6,66.5,39.9501,245.026,323.224,-14.99698,Per,67.182395,65.3755204,24.0590401,,,153.085848,-7.471714,,0.0,0.011,0.008,0.011,0.007,23.057,0.0,0.014,9.5409,6e-07,0.02,0.06,6.4e-05,168.724,,26.2015,51.434,20.8681,84.28218620108329
